,NOSE,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE_OUTER,LEFT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_RIGHT,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,RIGHT_WRIST,LEFT_PINKY,RIGHT_PINKY,LEFT_INDEX,RIGHT_INDEX,LEFT_THUMB,RIGHT_THUMB,LEFT_HIP,RIGHT_HIP,LEFT_KNEE,RIGHT_KNEE,LEFT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX
0,"x: 291.78882
y: 390.67032
z: -1.2242094
visibility: 0.99952865
","x: 303.60095
y: 335.81955
z: -1.145483
visibility: 0.99949265
","x: 314.9712
y: 332.51938
z: -1.1456714
visibility: 0.99945146
","x: 324.26938
y: 331.08353
z: -1.1456689
visibility: 0.9994332
","x: 270.92212
y: 349.8352
z: -1.1232457
visibility: 0.9994362
","x: 261.26633
y: 355.138
z: -1.1222988
visibility: 0.9993456
","x: 253.3595
y: 359.94055
z: -1.1227847
visibility: 0.99937135
","x: 343.19263
y: 347.08917
z: -0.6173625
visibility: 0.99953806
","x: 250.09401
y: 379.62906
z: -0.4915239
visibility: 0.99954116
","x: 321.27463
y: 432.22693
z: -1.0272013
visibility: 0.9995105
","x: 280.19073
y: 450.54532
z: -0.99216473
visibility: 0.9995772
","x: 457.2406
y: 576.77454
z: -0.3932597
visibility: 0.9779273
","x: 205.10916
y: 641.9409
z: -0.19109291
visibility: 0.98886526
","x: 508.01215
y: 844.6628
z: -1.0161352
visibility: 0.30712384
","x: 199.44154
y: 975.60126
z: -0.5678631
visibility: 0.20539118
","x: 391.41202
y: 724.38306
z: -1.7416449
visibility: 0.6316242
","x: 290.1291
y: 1034.3298
z: -1.577157
visibility: 0.15791635
","x: 372.297
y: 691.2267
z: -1.9471066
visibility: 0.61371315
","x: 310.19196
y: 1087.9907
z: -1.7860298
visibility: 0.1933396
","x: 348.06735
y: 609.97034
z: -1.8867552
visibility: 0.66953695
","x: 322.3849
y: 1036.9553
z: -1.8076179
visibility: 0.2662972
","x: 354.86755
y: 625.1852
z: -1.7490013
visibility: 0.6415794
","x: 318.41617
y: 1018.6932
z: -1.619276
visibility: 0.24156284
","x: 451.25677
y: 1215.4198
z: -0.13072602
visibility: 0.0030549516
","x: 282.35327
y: 1249.4053
z: 0.13762456
visibility: 0.0025083954
","x: 483.6232
y: 1711.9436
z: -0.1646236
visibility: 0.0008594082
","x: 324.22772
y: 1740.2144
z: 0.18877856
visibility: 0.00047208095
","x: 510.21115
y: 2158.1274
z: 0.52345425
visibility: 8.212456e-05
","x: 359.80457
y: 2184.65
z: 0.7599304
visibility: 9.639662e-06
","x: 518.71576
y: 2222.9055
z: 0.5427154
visibility: 6.985358e-05
","x: 364.7186
y: 2251.874
z: 0.7881594
visibility: 3.3590833e-05
","x: 489.1841
y: 2302.8325
z: -0.29786447
visibility: 0.000121378354
","x: 383.10947
y: 2317.9958
z: -0.0837549
visibility: 0.00012175358
"
1,"x: 293.14056
y: 390.64346
z: -1.1819494
visibility: 0.99956876
","x: 304.82874
y: 335.74173
z: -1.0953406
visibility: 0.99953467
","x: 316.00668
y: 332.40878
z: -1.0954497
visibility: 0.9994981
","x: 325.22693
y: 330.82416
z: -1.095113
visibility: 0.99948025
","x: 272.01562
y: 349.5366
z: -1.0799263
visibility: 0.99948186
","x: 262.1359
y: 354.65073
z: -1.0788606
visibility: 0.9993997
","x: 254.2255
y: 359.33844
z: -1.0792285
visibility: 0.9994213
","x: 343.69406
y: 346.64972
z: -0.5649049
visibility: 0.9995782
","x: 250.52425
y: 379.60822
z: -0.46569794
visibility: 0.9995778
","x: 322.4522
y: 431.66113
z: -0.98831004
visibility: 0.99954945
","x: 280.8588
y: 448.846
z: -0.9612361
visibility: 0.99960786
","x: 458.0368
y: 576.2762
z: -0.36145857
visibility: 0.9796482
","x: 206.09084
y: 640.9701
z: -0.21267498
visibility: 0.9893595
","x: 508.06006
y: 844.98157
z: -1.0147523
visibility: 0.3222451
","x: 194.62802
y: 975.59827
z: -0.81246966
visibility: 0.2248279
","x: 383.15735
y: 692.7024
z: -1.7043642
visibility: 0.6461494
","x: 286.62085
y: 949.9445
z: -1.8759158
visibility: 0.17413783
","x: 352.06592
y: 648.8624
z: -1.8887727
visibility: 0.6242728
","x: 307.49182
y: 969.6716
z: -2.093246
visibility: 0.20621029
","x: 343.49078
y: 609.0446
z: -1.8045504
visibility: 0.67908937
","x: 317.5641
y: 919.9084
z: -2.0611658
visibility: 0.2794187
","x: 351.2307
y: 616.607
z: -1.6998097
visibility: 0.6517451
","x: 314.3483
y: 916.0971
z: -1.8984159
visibility: 0.254658
","x: 451.15808
y: 1207.382
z: -0.11576699
visibility: 0.003056941
","x: 280.25327
y: 1237.5942
z: 0.12300285
visibility: 0.0025151724
","x: 479.44305
y: 1705.6055
z: -0.14633651
visibility: 0.00084016967
","x: 319.6609
y: 1731.7947
z: 0.11130698
visibility: 0.0004720371
","x: 504.6889
y: 2148.8027
z: 0.56063443
visibility: 7.9203026e-05
","x: 353.19006
y: 2176.5806
z: 0.5430386
visibility: 9.509217e-06
","x: 512.9664
y: 2213.5027
z: 0.58025265
visibility: 6.725199e-05
","x: 357.2432
y: 2244.1382
z: 0.55666643
visibility: 3.2238615e-05
","x: 483.90088
y: 2292.5457
z: -0.25163502
visibility: 0.00011921756
","x: 376.80225
y: 2311.118
z: -0.30639026
visibility: 0.00011934723
"
2,"x: 295.5449
y: 386.69308
z: -1.137896
visibility: 0.99960494
","x: 307.62354
y: 332.8742
z: -1.0455482
visibility: 0.9995731
","x: 318.79208
y: 329.9402
z: -1.0457402
visibility: 0.99954
","x: 327.7917
y: 328.259
z: -1.045232
visibility: 0.99952304
","x: 273.04645
y: 346.51843
z: -1.0327765
visibility: 0.9995243
","x: 262.626
y: 351.7676
z: -1.0316024
visibility: 0.99944955
","x: 254.55946
y: 356.7378
z: -1.0319049
visibility: 0.9994684
","x: 346.76938
y: 345.41837
z: -0.5344282
visibility: 0.999613
","x: 250.48291
y: 379.64798
z: -0.4465398
visibility: 0.9996116
","x: 324.70816
y: 430.7521
z: -0.95676386
visibility: 0.99958444
","x: 281.86652
y: 447.1173
z: -0.9338999
visibility: 0.9996374
","x: 458.09708
y: 596.9807
z: -0.36460686
visibility: 0.98094386
","x: 205.61476
y: 641.53845
z: -0.21728787
visibility: 0.98980415
","x: 509.2764
y: 880.84216
z: -1.0459274
visibility: 0.33667272
","x: 186.13979
y: 988.64264
z: -0.7643375
visibility: 0.24298798
","x: 384.1949
y: 693.30115
z: -1.7092714
visibility: 0.65984803
","x: 280.95755
y: 953.074
z: -1.7571852
visibility: 0.1754578
","x: 353.50513
y: 694.63934
z: -1.8983905
visibility: 0.6318968
","x: 304.20276
y: 979.1089
z: -1.978384
visibility: 0.20539577
","x: 344.04135
y: 633.24054
z: -1.80922
visibility: 0.68419147
","x: 313.40863
y: 939.6704
z: -2.0267212
visibility: 0.27649555
","x: 351.74762
y: 633.19446
z: -1.7068115
visibility: 0.6589754
","x: 309.26526
y: 928.2016
z: -1.7913431
visibility: 0.25397262
","x: 444.39935
y: 1211.363
z: -0.11376266
visibility: 0.0032914476
","x: 266.63525
y: 1238.3203
z: 0.120944835
visibility: 0.0026731063
","x: 466.58594
y: 1708.611
z: -0.101788476
visibility: 0.00080938096
","x: 303.19592
y: 1732.4836
z: 0.14408532
visibility: 0.00047896683
","x: 490.0852
y: 2149.9473
z: 0.6646057
visibility: 7.529882e-05
","x: 333.67474
y: 2176.728
z: 0.5890146
visibility: 9.5779515e-06
","x: 497.27692
y: 2214.226
z: 0.6905929
visibility: 6.345875e-05
","x: 335.29272
y: 2244.2532
z: 0.6084979
visibility: 3.191229e-05
","x: 470.92154
y: 2296.0508
z: -0.13473044
visibility: 0.00011697963
","x: 362.09406
y: 2311.6606
z: -0.28832027
visibility: 0.000121454206
"
3,"x: 297.24625
y: 385.5603
z: -1.1183146
visibility: 0.99964094
","x: 309.63834
y: 332.06458
z: -1.0240103
visibility: 0.9996115
","x: 320.645
y: 329.31866
z: -1.0241133
visibility: 0.9995815
","x: 329.44385
y: 327.6456
z: -1.0234725
visibility: 0.99956566
","x: 274.02084
y: 345.56354
z: -1.0162222
visibility: 0.9995671
","x: 263.15695
y: 350.7159
z: -1.015049
visibility: 0.9994996
","x: 254.8988
y: 355.73135
z: -1.0153326
visibility: 0.9995162
","x: 347.69128
y: 345.33832
z: -0.51017344
visibility: 0.9996475
","x: 250.40125
y: 380.08908
z: -0.44539398
visibility: 0.999646
","x: 326.31097
y: 430.70837
z: -0.9374367
visibility: 0.99961925
","x: 282.61935
y: 446.30948
z: -0.92184675
visibility: 0.99966764
","x: 458.0741
y: 605.66266
z: -0.35731715
visibility: 0.98216605
","x: 204.74107
y: 641.69165
z: -0.24304506
visibility: 0.9903345
","x: 509.33142
y: 891.05804
z: -1.0114048
visibility: 0.3438485
","x: 181.14967
y: 997.60986
z: -0.7868256
visibility: 0.25533462
","x: 385.51376
y: 700.30145
z: -1.6379541
visibility: 0.6639345
","x: 273.74127
y: 966.1823
z: -1.718902
visibility: 0.17474857
","x: 363.40546
y: 719.4563
z: -1.8071142
visibility: 0.63179666
","x: 297.30164
y: 985.64453
z: -1.9365193
visibility: 0.20467058
","x: 346.0024
y: 649.0116
z: -1.7125705
visibility: 0.6826278
","x: 304.89572
y: 943.0297
z: -2.008803
visibility: 0.27390897
","x: 353.0798
y: 642.8295
z: -1.6295649
visibility: 0.66076016
","x: 300.30563
y: 932.4023
z: -1.7524093
visibility: 0.25411916
","x: 439.78967
y: 1220.7638
z: -0.10541527
visibility: 0.0033722587
","x: 259.68652
y: 1245.5868
z: 0.1126412
visibility: 0.0027569777
","x: 458.0361
y: 1716.6985
z: -0.029151982
visibility: 0.00076773285
","x: 293.9188
y: 1739.4899
z: 0.15397295
visibility: 0.00047171762
","x: 478.97043
y: 2154.666
z: 0.7751821
visibility: 7.065001e-05
","x: 320.72247
y: 2183.9973
z: 0.60695493
visibility: 9.520632e-06
","x: 484.8785
y: 2217.789
z: 0.8062364
visibility: 5.9312213e-05
","x: 321.70273
y: 2251.9268
z: 0.62647414
visibility: 3.0812134e-05
","x: 461.16418
y: 2304.8052
z: 0.006696685
visibility: 0.00011547586
","x: 349.52405
y: 2319.8115
z: -0.2384197
visibility: 0.000121272955
"
4,"x: 298.48062
y: 384.01367
z: -1.0687468
visibility: 0.9996685
","x: 310.85507
y: 330.6126
z: -0.9728097
visibility: 0.9996399
","x: 321.75677
y: 327.9665
z: -0.9730137
visibility: 0.99961364
","x: 330.51892
y: 326.2207
z: -0.97247696
visibility: 0.999598
","x: 274.8423
y: 344.3593
z: -0.9663352
visibility: 0.9995976
","x: 263.72507
y: 349.6146
z: -0.96515334
visibility: 0.9995364
","x: 255.28668
y: 354.76257
z: -0.9655043
visibility: 0.99954975
","x: 348.45737
y: 344.0416
z: -0.45891577
visibility: 0.99967515
","x: 250.39275
y: 380.20383
z: -0.40083307
visibility: 0.9996686
","x: 327.41507
y: 430.1057
z: -0.8864378
visibility: 0.99964166
","x: 283.71866
y: 444.96417
z: -0.8725588
visibility: 0.9996827
","x: 458.3769
y: 604.28503
z: -0.31257942
visibility: 0.9832089
","x: 203.55923
y: 641.2412
z: -0.2375892
visibility: 0.9903028
","x: 514.4325
y: 890.0854
z: -0.96282303
visibility: 0.3500405
","x: 179.50586
y: 1000.2503
z: -0.8985308
visibility: 0.2736565
","x: 387.1898
y: 732.05884
z: -1.5443238
visibility: 0.6723835
","x: 274.61084
y: 907.1742
z: -1.9108226
visibility: 0.19374302
","x: 364.7413
y: 721.55756
z: -1.6973171
visibility: 0.63465255
","x: 297.68677
y: 907.8069
z: -2.1134276
visibility: 0.21926592
","x: 346.3852
y: 649.69446
z: -1.5979817
visibility: 0.68421525
","x: 305.59552
y: 711.5693
z: -2.070275
visibility: 0.28778777
","x: 353.1661
y: 646.2042
z: -1.5297713
visibility: 0.66431075
","x: 300.65634
y: 738.77496
z: -1.9238838
visibility: 0.2682665
","x: 438.53958
y: 1220.4409
z: -0.09564555
visibility: 0.0033405498
","x: 256.56195
y: 1243.1929
z: 0.103017315
visibility: 0.002730078
","x: 454.86588
y: 1716.5188
z: -0.059216004
visibility: 0.00073824264
","x: 290.17953
y: 1736.6425
z: 0.1169612
visibility: 0.0004762808
","x: 472.9521
y: 2154.2122
z: 0.70213443
visibility: 6.576255e-05
","x: 314.2919
y: 2182.8467
z: 0.57164276
visibility: 9.254379e-06
","x: 478.1573
y: 2217.484
z: 0.72770363
visibility: 5.509841e-05
","x: 315.0301
y: 2251.2954
z: 0.58940774
visibility: 2.8997176e-05
","x: 455.8992
y: 2304.1086
z: -0.08930177
visibility: 0.000110523484
","x: 340.9257
y: 2318.904
z: -0.26893046
visibility: 0.00011777785
"
5,"x: 299.2654
y: 383.22278
z: -1.0821087
visibility: 0.99969506
","x: 311.5598
y: 329.94208
z: -0.98814857
visibility: 0.99966776
","x: 322.4065
y: 327.37787
z: -0.9883787
visibility: 0.99964434
","x: 331.1994
y: 325.6183
z: -0.98786277
visibility: 0.99962914
","x: 275.4504
y: 343.7359
z: -0.97830474
visibility: 0.99962795
","x: 264.2125
y: 349.0276
z: -0.97710645
visibility: 0.99957234
","x: 255.66779
y: 354.24423
z: -0.9774421
visibility: 0.99958324
","x: 349.02097
y: 343.60498
z: -0.474198
visibility: 0.99970144
","x: 250.41399
y: 380.3729
z: -0.40058166
visibility: 0.9996916
","x: 328.24512
y: 429.88126
z: -0.89949816
visibility: 0.9996661
","x: 284.64008
y: 444.18777
z: -0.8809657
visibility: 0.99970126
","x: 458.39117
y: 604.1609
z: -0.32392445
visibility: 0.984172
","x: 203.51816
y: 641.2704
z: -0.23413381
visibility: 0.9904732
","x: 517.30695
y: 890.92035
z: -0.96957093
visibility: 0.36000076
","x: 178.5965
y: 1002.17114
z: -0.8992467
visibility: 0.2960216
","x: 389.34512
y: 731.8024
z: -1.5393343
visibility: 0.6813647
","x: 274.30325
y: 908.27997
z: -1.9192368
visibility: 0.21238324
","x: 364.8608
y: 723.68536
z: -1.6923021
visibility: 0.63742656
","x: 298.23697
y: 912.6354
z: -2.1185527
visibility: 0.23362374
","x: 346.81982
y: 651.1034
z: -1.5905906
visibility: 0.6855473
","x: 305.9862
y: 726.6708
z: -2.070055
visibility: 0.30136278
","x: 353.37885
y: 649.45703
z: -1.5230523
visibility: 0.66809976
","x: 301.55884
y: 725.0049
z: -1.9335982
visibility: 0.28254202
","x: 438.36234
y: 1221.1045
z: -0.09748012
visibility: 0.0033192255
","x: 256.2063
y: 1243.2454
z: 0.104803324
visibility: 0.0027161425
","x: 454.6198
y: 1716.9717
z: -0.066038996
visibility: 0.0007069737
","x: 289.0769
y: 1736.7345
z: 0.13785644
visibility: 0.00047974355
","x: 473.14966
y: 2154.3582
z: 0.71554506
visibility: 6.149938e-05
","x: 314.16318
y: 2182.9731
z: 0.6011617
visibility: 9.135075e-06
","x: 478.5073
y: 2217.5444
z: 0.7432941
visibility: 5.133337e-05
","x: 315.20776
y: 2251.4336
z: 0.6224491
visibility: 2.76958e-05
","x: 456.46295
y: 2304.2341
z: -0.07340432
visibility: 0.00010648575
","x: 340.75214
y: 2319.3032
z: -0.25923583
visibility: 0.00011645766
"
6,"x: 300.0271
y: 382.10803
z: -1.0980091
visibility: 0.99971974
","x: 312.35144
y: 328.98254
z: -1.0088681
visibility: 0.9996938
","x: 323.07404
y: 326.52774
z: -1.0090578
visibility: 0.9996726
","x: 331.8391
y: 324.8228
z: -1.0086633
visibility: 0.99965775
","x: 276.14618
y: 342.88672
z: -0.9961211
visibility: 0.99965715
","x: 264.7244
y: 348.24857
z: -0.99499303
visibility: 0.9996066
","x: 256.01407
y: 353.5281
z: -0.99538213
visibility: 0.9996158
","x: 349.69684
y: 343.2395
z: -0.49190283
visibility: 0.9997255
","x: 250.45108
y: 380.3833
z: -0.40797862
visibility: 0.9997149
","x: 328.79865
y: 429.54883
z: -0.91027486
visibility: 0.9996905
","x: 285.24905
y: 443.67975
z: -0.8867873
visibility: 0.9997216
","x: 459.3891
y: 608.64954
z: -0.33739597
visibility: 0.9848961
","x: 203.50438
y: 641.5014
z: -0.23967202
visibility: 0.99081355
","x: 520.7022
y: 892.1442
z: -0.97210723
visibility: 0.36485335
","x: 177.27626
y: 1006.5121
z: -0.90694094
visibility: 0.31636083
","x: 390.14987
y: 731.57605
z: -1.5665034
visibility: 0.68599147
","x: 272.81363
y: 931.1179
z: -1.9717224
visibility: 0.22279452
","x: 366.75815
y: 731.0239
z: -1.7273232
visibility: 0.6358734
","x: 297.52234
y: 948.482
z: -2.1756823
visibility: 0.24126306
","x: 348.12933
y: 656.32166
z: -1.6277956
visibility: 0.6827151
","x: 302.90375
y: 740.322
z: -2.1354194
visibility: 0.3081254
","x: 354.39273
y: 651.4838
z: -1.5523137
visibility: 0.6682926
","x: 298.85345
y: 746.2082
z: -1.990756
visibility: 0.2907141
","x: 438.90717
y: 1224.8107
z: -0.09796141
visibility: 0.0033658752
","x: 257.8632
y: 1246.5138
z: 0.10531247
visibility: 0.0027795627
","x: 456.53143
y: 1720.4939
z: -0.060430188
visibility: 0.0006792551
","x: 291.975
y: 1741.699
z: 0.242488
visibility: 0.00047936483
","x: 476.31094
y: 2156.565
z: 0.75955427
visibility: 5.7902154e-05
","x: 318.76865
y: 2185.9858
z: 0.8162171
visibility: 9.070489e-06
","x: 482.20523
y: 2219.416
z: 0.7904629
visibility: 4.8008933e-05
","x: 320.36472
y: 2254.0552
z: 0.84820354
visibility: 2.6928576e-05
","x: 458.92154
y: 2306.4531
z: -0.03281158
visibility: 0.00010279197
","x: 344.97134
y: 2323.8162
z: -0.011318198
visibility: 0.00011649833
"
7,"x: 299.9955
y: 381.82068
z: -1.1079828
visibility: 0.9997398
","x: 312.39322
y: 328.63763
z: -1.016969
visibility: 0.9997156
","x: 323.22202
y: 326.1752
z: -1.017244
visibility: 0.99969554
","x: 332.02194
y: 324.46515
z: -1.0168223
visibility: 0.99968135
","x: 276.1324
y: 342.65527
z: -1.0051734
visibility: 0.9996819
","x: 264.7217
y: 348.0641
z: -1.0040923
visibility: 0.9996354
","x: 256.01547
y: 353.36816
z: -1.0044433
visibility: 0.99964356
","x: 350.05414
y: 343.19403
z: -0.50185716
visibility: 0.99974453
","x: 250.3705
y: 380.74097
z: -0.4114594
visibility: 0.9997333
","x: 328.8996
y: 429.54196
z: -0.92134583
visibility: 0.9997072
","x: 285.23438
y: 443.5932
z: -0.89677256
visibility: 0.9997357
","x: 457.25235
y: 609.5874
z: -0.3716299
visibility: 0.9848998
","x: 206.50813
y: 642.4771
z: -0.23811218
visibility: 0.9905169
","x: 517.60767
y: 890.05096
z: -1.0191362
visibility: 0.356546
","x: 178.5846
y: 1015.0613
z: -0.8608798
visibility: 0.31241253
","x: 389.9797
y: 760.5442
z: -1.6183027
visibility: 0.67945105
","x: 271.113
y: 1019.7946
z: -1.8850132
visibility: 0.21404546
","x: 366.89368
y: 745.83624
z: -1.7789484
visibility: 0.6284651
","x: 292.76285
y: 1062.9105
z: -2.0891192
visibility: 0.23308916
","x: 346.1936
y: 658.15845
z: -1.6679739
visibility: 0.6756672
","x: 299.53787
y: 988.5986
z: -2.0601735
visibility: 0.29891804
","x: 353.10928
y: 652.1512
z: -1.6013149
visibility: 0.66184336
","x: 296.1155
y: 973.80237
z: -1.9080734
visibility: 0.28227043
","x: 439.21228
y: 1231.9358
z: -0.1158492
visibility: 0.003364011
","x: 258.7319
y: 1256.3148
z: 0.12261714
visibility: 0.0027715052
","x: 457.6559
y: 1723.9899
z: -0.12945274
visibility: 0.0006948417
","x: 296.58527
y: 1749.7761
z: 0.23245418
visibility: 0.0005059847
","x: 477.35773
y: 2162.8262
z: 0.6405362
visibility: 5.8293743e-05
","x: 321.56427
y: 2192.7566
z: 0.8031176
visibility: 9.986549e-06
","x: 482.73868
y: 2227.2214
z: 0.666869
visibility: 4.7517617e-05
","x: 321.9939
y: 2262.1367
z: 0.82991
visibility: 3.0021514e-05
","x: 460.51193
y: 2310.504
z: -0.119368315
visibility: 0.000105838575
","x: 346.11432
y: 2328.6577
z: -0.052515812
visibility: 0.00012914174
"
8,"x: 299.9603
y: 381.38138
z: -1.113607
visibility: 0.99975574
","x: 312.348
y: 328.01953
z: -1.0234346
visibility: 0.9997322
","x: 323.23666
y: 325.55017
z: -1.0236827
visibility: 0.99971414
","x: 332.08298
y: 323.866
z: -1.0232859
visibility: 0.9996996
","x: 276.09897
y: 342.30695
z: -1.010924
visibility: 0.9996999
","x: 264.68756
y: 347.83047
z: -1.0098519
visibility: 0.9996576
","x: 256.01343
y: 353.15222
z: -1.0102065
visibility: 0.9996636
","x: 350.55646
y: 343.06238
z: -0.51358163
visibility: 0.999761
","x: 250.33095
y: 380.82718
z: -0.41729593
visibility: 0.99974704
","x: 328.9052
y: 429.50067
z: -0.9247695
visibility: 0.9997196
","x: 285.2001
y: 443.49258
z: -0.8997567
visibility: 0.9997447
","x: 458.5969
y: 612.5848
z: -0.40925765
visibility: 0.9851444
","x: 206.46835
y: 643.8748
z: -0.22213538
visibility: 0.99028003
","x: 517.7611
y: 889.51697
z: -1.0746468
visibility: 0.36096582
","x: 178.85475
y: 1014.2484
z: -0.769724
visibility: 0.31245005
","x: 389.50064
y: 754.9436
z: -1.6251173
visibility: 0.6832273
","x: 271.03952
y: 1025.4102
z: -1.7326887
visibility: 0.20686843
","x: 363.55008
y: 743.6181
z: -1.7877852
visibility: 0.6275611
","x: 293.19238
y: 1069.6938
z: -1.9144093
visibility: 0.22577953
","x: 345.57974
y: 660.31366
z: -1.6866081
visibility: 0.67413986
","x: 300.55795
y: 1012.2723
z: -1.8887041
visibility: 0.29033843
","x: 353.01108
y: 653.3094
z: -1.6061796
visibility: 0.6610186
","x: 296.9089
y: 997.7036
z: -1.7565914
visibility: 0.27464107
","x: 439.224
y: 1234.8503
z: -0.12341954
visibility: 0.0034617726
","x: 258.81186
y: 1258.8767
z: 0.13033639
visibility: 0.002825602
","x: 458.6021
y: 1725.655
z: -0.18855831
visibility: 0.0007069577
","x: 297.42032
y: 1750.1777
z: 0.16751546
visibility: 0.00052282197
","x: 478.99493
y: 2165.8062
z: 0.5520753
visibility: 5.6537432e-05
","x: 323.01807
y: 2194.2114
z: 0.6168186
visibility: 1.0449215e-05
","x: 484.6939
y: 2231.1045
z: 0.5760824
visibility: 4.560281e-05
","x: 324.00867
y: 2264.9424
z: 0.6347008
visibility: 3.1124393e-05
","x: 460.87045
y: 2314.9412
z: -0.23824987
visibility: 0.00010606134
","x: 348.07938
y: 2329.6162
z: -0.20535521
visibility: 0.00013846395
"
9,"x: 299.9346
y: 380.38434
z: -1.0968701
visibility: 0.99976796
","x: 312.41483
y: 326.6654
z: -1.0035989
visibility: 0.9997447
","x: 323.3764
y: 324.1607
z: -1.0038702
visibility: 0.9997297
","x: 332.24356
y: 322.57367
z: -1.0033978
visibility: 0.99971354
","x: 276.19205
y: 341.2243
z: -0.9918534
visibility: 0.99971366
","x: 264.81046
y: 346.8346
z: -0.99091595
visibility: 0.9996767
","x: 256.15405
y: 352.08023
z: -0.9913268
visibility: 0.9996813
","x: 350.6672
y: 342.00574
z: -0.49655914
visibility: 0.9997742
","x: 250.34514
y: 380.55597
z: -0.40898305
visibility: 0.99975896
","x: 328.8829
y: 428.99677
z: -0.9131756
visibility: 0.9997264
","x: 285.26837
y: 442.77368
z: -0.89086294
visibility: 0.99975085
","x: 458.2136
y: 612.371
z: -0.35607478
visibility: 0.985328
","x: 206.43611
y: 642.15906
z: -0.22280832
visibility: 0.9903787
","x: 517.6691
y: 883.32526
z: -1.038627
visibility: 0.36304134
","x: 175.07391
y: 1005.0614
z: -0.8930088
visibility: 0.33548728
","x: 389.52698
y: 722.72876
z: -1.560479
visibility: 0.68943805
","x: 271.1368
y: 949.04895
z: -1.8875353
visibility: 0.22518194
","x: 360.57367
y: 689.3861
z: -1.7025763
visibility: 0.62953925
","x: 293.61218
y: 963.59186
z: -2.0815187
visibility: 0.23865022
","x: 347.03122
y: 648.25183
z: -1.5959494
visibility: 0.67480373
","x: 303.42953
y: 763.91425
z: -2.021092
visibility: 0.3031666
","x: 353.8116
y: 643.321
z: -1.5400372
visibility: 0.6619647
","x: 300.6217
y: 752.9609
z: -1.8961662
visibility: 0.2859667
","x: 439.85175
y: 1232.4021
z: -0.10727513
visibility: 0.0038075855
","x: 258.99884
y: 1252.217
z: 0.114194855
visibility: 0.0031209826
","x: 458.41202
y: 1720.3004
z: -0.25244188
visibility: 0.0008087299
","x: 296.4232
y: 1734.0941
z: -0.065165296
visibility: 0.000617066
","x: 477.89264
y: 2161.4404
z: 0.33450502
visibility: 5.9469094e-05
","x: 318.39236
y: 2185.2349
z: 0.22492807
visibility: 1.2166557e-05
","x: 484.09012
y: 2227.4934
z: 0.34194416
visibility: 4.8507238e-05
","x: 318.39
y: 2258.1846
z: 0.22508831
visibility: 3.3743258e-05
","x: 456.92047
y: 2310.102
z: -0.4841856
visibility: 0.00011677285
","x: 344.79672
y: 2320.5276
z: -0.6143606
visibility: 0.00015930539
"
